player,pos,team,rebounds,assists,steals,blocks,points
Alex Abrines,SG,OKC,86,40,37,8,406
Quincy Acy,PF,TOT,115,18,14,15,222
Steven Adams,C,OKC,613,86,89,78,905
Arron Afflalo,SG,SAC,125,78,21,6,515
Alexis Ajinca,C,NOP,177,12,20,22,207
Cole Aldrich,C,MIN,158,25,25,23,105
LaMarcus Aldridge,PF,SAS,523,139,46,88,1243
Lavoy Allen,PF,IND,219,57,18,24,177
Tony Allen,SG,MEM,391,98,115,29,643
Al-Farouq Aminu,SF,POR,451,99,60,44,532
Chris Andersen,C,CLE,31,5,5,7,28
Alan Anderson,SF,LAC,24,11,3,0,86
Justin Anderson,SF,TOT,245,66,41,23,532
Kyle Anderson,SG,SAS,208,91,51,26,246
Ryan Anderson,PF,HOU,330,68,31,14,979
Giannis Antetokounmpo,SF,MIL,700,434,131,151,1832
Carmelo Anthony,SF,NYK,438,213,60,34,1659
Joel Anthony,C,SAS,31,3,2,6,25
Trevor Ariza,SF,HOU,458,175,147,20,936
Darrell Arthur,PF,DEN,112,42,19,21,262
Omer Asik,C,NOP,163,15,5,10,85
D.J. Augustin,PG,ORL,117,209,31,1,616
Luke Babbitt,SF,MIA,141,36,20,11,324
Ron Baker,SG,NYK,98,107,34,8,215
Wade Baldwin,PG,MEM,46,61,18,7,106
Leandro Barbosa,SG,PHO,104,81,31,8,419
J.J. Barea,PG,DAL,84,193,14,1,381
Harrison Barnes,PF,DAL,394,116,65,15,1518
Matt Barnes,SF,TOT,384,195,48,26,527
Will Barton,SG,DEN,259,206,48,28,820
Brandon Bass,PF,LAC,129,21,14,11,292
Nicolas Batum,SG,CHO,481,456,86,29,1164
Jerryd Bayless,PG,PHI,12,13,0,0,33
Aron Baynes,C,DET,333,32,17,39,365
Kent Bazemore,SF,ATL,231,177,91,52,801
Bradley Beal,SG,WAS,240,267,83,21,1779
Malik Beasley,SG,DEN,17,11,7,0,83
Michael Beasley,PF,MIL,193,53,27,27,528
Marco Belinelli,SG,CHO,178,147,44,9,780
DeAndre' Bembry,SF,ATL,59,28,8,5,101
Dragan Bender,PF,PHO,103,23,10,22,146
Anthony Bennett,PF,BRK,78,12,5,3,115
Ben Bentil,PF,DAL,2,0,0,0,0
Davis Bertans,PF,SAS,98,46,20,28,303
Patrick Beverley,SG,HOU,393,281,99,25,639
Bismack Biyombo,C,ORL,567,74,25,91,483
Nemanja Bjelica,PF,MIN,244,79,40,20,403
Tarik Black,C,LAL,343,39,29,44,383
Eric Bledsoe,PG,PHO,320,418,91,31,1390
Bojan Bogdanovic,SF,TOT,277,111,34,7,1113
Andrew Bogut,C,TOT,218,49,13,25,79
Joel Bolomboy,PF,UTA,17,2,1,2,22
Devin Booker,SG,PHO,249,268,72,21,1726
Trevor Booker,PF,BRK,571,138,75,28,709
Avery Bradley,SG,BOS,334,122,68,11,894
Corey Brewer,SF,TOT,166,97,61,20,371
Malcolm Brogdon,SG,MIL,213,317,84,12,767
Aaron Brooks,PG,IND,69,125,25,9,322
